meet_name,meet_year,meet_type,gender,event_name,rank,swimmer_name,university,time,round_used,source_page,extraction_notes
Sri Lanka University Games,2025,SLUG,male,400 freestyle,1,R. A. D. Christminth,MOR,04:59.51,final,1,
Sri Lanka University Games,2025,SLUG,male,400 freestyle,2,W. T. Fernando,MOR,05:04.28,final,1,
Sri Lanka University Games,2025,SLUG,male,400 freestyle,3,H. O. C. Hiripitiya,COL,05:13.41,final,1,
Sri Lanka University Games,2025,SLUG,male,400 freestyle,4,S. Abeydeera,SJP,05:14.38,final,1,
Sri Lanka University Games,2025,SLUG,male,400 freestyle,5,A. M. Vidanage,UVA,05:17.40,final,1,
Sri Lanka University Games,2025,SLUG,female,200 freestyle,1,M. M. I. S. Mapa,PER,02:42.41,final,2,
Sri Lanka University Games,2025,SLUG,female,200 freestyle,2,K. A. D. T. N. Perera,KEL,02:45.59,final,2,
Sri Lanka University Games,2025,SLUG,female,200 freestyle,3,I. A. Ranasinghe,COL,02:45.94,final,2,
Sri Lanka University Games,2025,SLUG,female,200 freestyle,4,N. W. T. T. Parakramasinghe,SAB,02:52.51,final,2,
Sri Lanka University Games,2025,SLUG,female,200 freestyle,5,T. N. Peiris,SJP,02:58.40,final,2,
Sri Lanka University Games,2025,SLUG,male,100 breaststroke,1,W. A. C. Pavithra,SJP,01:11.13,final,3,NMR
Sri Lanka University Games,2025,SLUG,male,100 breaststroke,2,W. O. D. Perera,RAJ,01:15.85,final,3,
Sri Lanka University Games,2025,SLUG,male,100 breaststroke,3,K. G. K. R. Kariyawasam,MOR,01:19.43,final,3,
Sri Lanka University Games,2025,SLUG,male,100 breaststroke,4,S. V. Amunugama,MOR,01:20.80,final,3,
Sri Lanka University Games,2025,SLUG,male,100 breaststroke,5,W. A. K. Gayanuka,COL,01:22.31,final,3,
Sri Lanka University Games,2025,SLUG,female,100 breaststroke,1,T. N. G. Dissanayake,PER,01:25.72,final,4,NMR
Sri Lanka University Games,2025,SLUG,female,100 breaststroke,2,M. A. G. S. Perera,COL,01:31.28,final,4,
Sri Lanka University Games,2025,SLUG,female,100 breaststroke,3,N. L. D. N. Nanayakkara,SJP,01:37.72,final,4,
Sri Lanka University Games,2025,SLUG,female,100 breaststroke,4,K. S. V. Gunawardana,COL,01:44.80,final,4,
Sri Lanka University Games,2025,SLUG,female,100 breaststroke,5,A. Y. L. Perera,RUH,01:45.69,final,4,
Sri Lanka University Games,2025,SLUG,male,200 backstroke,1,C. D. Ampavila,COL,02:33.52,final,5,
Sri Lanka University Games,2025,SLUG,male,200 backstroke,2,R. A. D. Christminth,MOR,02:39.50,final,5,
Sri Lanka University Games,2025,SLUG,male,200 backstroke,3,S. K. S. Syvendra,MOR,02:49.50,final,5,
Sri Lanka University Games,2025,SLUG,male,200 backstroke,4,S. Abeydeera,SJP,02:54.34,final,5,
Sri Lanka University Games,2025,SLUG,male,200 backstroke,5,J. S. K. B. Jayasekera,KEL,02:54.53,final,5,
Sri Lanka University Games,2025,SLUG,female,100 backstroke,1,M. M. I. S. Mapa,PER,01:23.43,final,6,
Sri Lanka University Games,2025,SLUG,female,100 backstroke,2,I. A. Ranasinghe,COL,01:25.01,final,6,
Sri Lanka University Games,2025,SLUG,female,100 backstroke,3,K. A. S. T. Kanuwanaarachchi,MOR,01:29.78,final,6,
Sri Lanka University Games,2025,SLUG,female,100 backstroke,4,D. I. G. Dissanayake,MOR,01:35.19,final,6,
Sri Lanka University Games,2025,SLUG,female,100 backstroke,5,K. M. H. H. M. Karunanayaka,COL,01:37.19,final,6,
Sri Lanka University Games,2025,SLUG,male,200 individual medley,1,W. A. C. Pavithra,SJP,02:25.81,final,7,
Sri Lanka University Games,2025,SLUG,male,200 individual medley,2,R. A. D. Christminth,MOR,02:36.47,final,7,
Sri Lanka University Games,2025,SLUG,male,200 individual medley,3,K. L. R. T. Gunawardana,COL,02:39.28,final,7,
Sri Lanka University Games,2025,SLUG,male,200 individual medley,4,M. R. A. Rasheed,KEL,02:52.22,final,7,
Sri Lanka University Games,2025,SLUG,male,200 individual medley,5,H. O. C. Hiripitiya,COL,02:54.75,final,7,
Sri Lanka University Games,2025,SLUG,female,100 freestyle,1,K. I. M. C. T. Ilangasinghe,SJP,01:10.70,final,8,
Sri Lanka University Games,2025,SLUG,female,100 freestyle,2,M. H. Hewage,PER,01:12.23,final,8,
